Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/adeline_rg/status/1700781798731764110,AdelineReload,https://twitter.com/adeline_rg,2023-09-10,"ரூ.2,700 கோடியில் ஜி20 மாநாட்டிற்கு கட்டப்பட்ட ’பாரத்’ மண்டபத்திற்குள் தேங்கிய மழைநீர்!#G20Summit #G20Bharat #BharatVsIndia #BharatMandapam",,https://twitter.com/adeline_rg/status/1700781798731764110,False,10,99,181,"2,978"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/graniteshares/status/1687153859771404288/,GraniteShares ETFs,https://twitter.com/graniteshares,,"Leveraged shares of NDVA, the chipmaker powering growing Artificial Intelligence adoption.",https://pbs.twimg.com/media/F1gAGxOXsAASLO1?format=jpg&name=small,https://twitter.com/graniteshares/status/1687153859771404288/,True,15,4,63,822.8K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/mintusharma119/status/1700811850068435225,Mohit SharmaReload,https://twitter.com/mintusharma119,2023-09-10,Shubman Gill to Shaheen Shah Afridi today #ShubmanGill  #BharatVsIndia #IndiavsPak,,https://twitter.com/mintusharma119/status/1700811850068435225,False,2,11,25,"1,084"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/RoqTechnology/status/1700054110916026561/,ROQ.ai,https://twitter.com/RoqTechnology,,"It’s 2023. Time to use AI to generate big parts of your webapp code. Generate your first version from just prompts  Iterate on the generated webapp Add the finishing touches to the code, or let us finish it for youShip!",https://pbs.twimg.com/media/F19wFb_XgAAMaZW?format=png&name=small,https://twitter.com/RoqTechnology/status/1700054110916026561/,True,24,8,53,18.5K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/INClusive_Minds/status/1699294002435264933,Inclusive Minds,https://twitter.com/INClusive_Minds,2023-09-06,"We need real leaders, not fake ones who can only change names.#BharatVsIndia",https://pbs.twimg.com/media/F5Ua4ufbYAA0quq?format=jpg&name=small,https://twitter.com/INClusive_Minds/status/1699294002435264933,False,1,18,41,"2,393"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/crossway/status/1699829891904975318/,Crossway,https://twitter.com/crossway,,How 7 Transformational Events in 1776 Paved the Way for Today’s Post-Christian West,https://pbs.twimg.com/media/F5bx4KgWoAAvXuC?format=jpg&name=small,https://twitter.com/crossway/status/1699829891904975318/,True,3,4,39,90.5K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Vyas_108/status/1699723807366193530,VyasReload,https://twitter.com/Vyas_108,2023-09-07,"When Nupur Sharma did it ,Le left wing & when Udhayanidhi Stalin did it eradication of Sanatanam #Arrest_Udayanidhi#ArrestARaja #G20SummitDelhiAditya #Abhiya Bharat #BharatVsIndia#BoycottJawanMovie",,https://twitter.com/Vyas_108/status/1699723807366193530,False,39,335,730,73.2K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/AAPSarangLonkar/status/1699495934118486163,आपला सारंग लोणकर,https://twitter.com/AAPSarangLonkar,2023-09-06,Hypocrisy of #VirenderSehwag exposed.. #AmitabhBachchan#IndiaVsBharat#भारत #इंडिया_भारत #इंडिया #BharatVsIndia #Jawan #India,https://pbs.twimg.com/media/F5XSikZaYAEbjWT?format=jpg&name=small,https://twitter.com/AAPSarangLonkar/status/1699495934118486163,False,9,19,39,"8,342"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/urabeazuki/status/1700430433211543677,うらべあづき,https://twitter.com/urabeazuki,2023-09-09,今、G20で話題の「インドの名称変更」どういうことかと言いますと、自国民が呼んでいた呼称に変更する。ということです。日本がJAPANではなく「NIPPON」になりますという感じ。続↓#G20 #インド #BharatVsIndia,https://pbs.twimg.com/media/F5kjup3XoAAmULC?format=jpg&name=small,https://twitter.com/urabeazuki/status/1700430433211543677,False,2,161,286,18.7K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/KuthoosSheik/status/1699379530027483244,Sheik,https://twitter.com/KuthoosSheik,2023-09-06,"If you put bigotry on your head, your brain will become dull.    #BharatVsIndia#Bharath",https://pbs.twimg.com/media/F5VomL7bQAAvOfE?format=jpg&name=small,https://twitter.com/KuthoosSheik/status/1699379530027483244,False,2,6,8,"1,478"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/pulkitnpc/status/1699797878217289835,Pulkit TyagiReload,https://twitter.com/pulkitnpc,2023-09-07,Full Video: https://youtu.be/Xm5ABEHP4UY #UdayanidhiStalin #BharatVsIndia,,https://twitter.com/pulkitnpc/status/1699797878217289835,False,8,54,197,"2,847"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/NHTrader23/status/1699368715333284243, NH TRADER Reload,https://twitter.com/NHTrader23,2023-09-06,#BharatVsIndiaOhh Lalu Yadav had already told this long ago.,,https://twitter.com/NHTrader23/status/1699368715333284243,False,1,,4,663
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/tastytrade/status/1697704126409220342/,tastytrade,https://twitter.com/tastytrade,,"It’s always a good time for a smart move. So get a broker with the tech, rates, and support you need.",https://pbs.twimg.com/media/F4TdT3fbIAAxK8Y?format=jpg&name=small,https://twitter.com/tastytrade/status/1697704126409220342/,True,13,3,95,140.6K
